Year,Month,Day,Variety,Treatment,Rep,Unit,TotalFreshWeight_g,C_TDW,TotalDryWeight_g,C_FDW,FlowerDryWeight_g,C_SLDW,StemLeavesDryWeight_g
2020,8,7,Maverick,0,1,105,22,0.318181818,7,0.734285714,5.14,0.265714286,1.86
2020,8,7,Maverick,50,1,110,28,0.321428571,9,0.758888889,6.83,0.241111111,2.17
2020,8,7,Maverick,100,1,106,156,0.282051282,44,0.721590909,31.75,0.278409091,12.25
2020,8,7,Maverick,150,1,109,156,0.275641026,43,0.772790698,33.23,0.227209302,9.77
2020,8,7,Maverick,200,1,117,9,0.222222222,2,0.805,1.61,0.195,0.39
2020,8,7,Maverick,250,1,104,164,0.280487805,46,0.724347826,33.32,0.275652174,12.68
2020,8,7,Maverick,0,2,210,89,0.292134831,26,0.853846154,22.2,0.146153846,3.8
2020,8,7,Maverick,50,2,208,111,0.297297297,33,0.70969697,23.42,0.29030303,9.58
2020,8,7,Maverick,100,2,207,194,0.309278351,60,0.870833333,52.25,0.129166667,7.75
2020,8,7,Maverick,150,2,202,149,0.302013423,45,0.679555556,30.58,0.320444444,14.42
2020,8,7,Maverick,200,2,205,182,0.291208791,53,0.717924528,38.05,0.282075472,14.95
2020,8,7,Maverick,250,2,213,166,0.295180723,49,0.783469388,38.39,0.216530612,10.61
2020,8,7,Maverick,0,3,312,6,0.333333333,2,0.5,1,0.5,1
2020,8,7,Maverick,50,3,311,35,0.285714286,10,0.7,7,0.3,3
2020,8,7,Maverick,100,3,316,159,0.264150943,42,0.666666667,28,0.333333333,14
2020,8,7,Maverick,150,3,304,141,0.276595745,39,0.666666667,26,0.333333333,13
2020,8,7,Maverick,200,3,307,28,0.285714286,8,0.625,5,0.375,3
2020,8,7,Maverick,250,3,313,124,0.274193548,34,0.617647059,21,0.382352941,13
2020,8,7,Maverick,0,4,414,3,0.29,0.87,0.24137931,0.21,0.75862069,0.66
2020,8,7,Maverick,50,4,416,96,0.28125,27,0.641111111,17.31,0.358888889,9.69
