Year,Month,Day,Unit,Rep,Height_cm
2021,8,20,212,2,80
2021,8,20,212,3,69
2021,8,20,216,2,82
2021,8,20,216,3,79
2021,8,20,305,1,78
2021,8,20,305,2,96.5
2021,8,20,305,3,94
2021,8,20,306,1,104
2021,8,20,306,2,100
2021,8,20,306,3,93
2021,8,20,308,1,76
2021,8,20,308,2,102
2021,8,20,308,3,84
2021,8,20,311,1,69
2021,8,20,311,2,74
2021,8,20,311,3,65
2021,8,20,316,1,100
2021,8,20,316,2,90
2021,8,20,316,3,102
2021,8,20,318,1,85
2021,8,20,318,2,75
2021,8,20,318,3,99
2021,8,20,402,1,76
2021,8,20,402,2,79
2021,8,20,402,3,67
2021,8,20,404,1,77
2021,8,20,404,2,90
2021,8,20,404,3,88
2021,8,20,410,1,84
2021,8,20,410,2,85
2021,8,20,410,3,78
2021,8,20,416,1,110
2021,8,20,416,2,100
2021,8,20,416,3,104
2021,8,20,417,1,81
2021,8,20,417,2,77
2021,8,20,417,3,85
2021,8,20,418,1,88
2021,8,20,418,2,60
2021,8,20,418,3,68
2021,9,9,101,1,56
2021,9,9,101,2,55
2021,9,9,101,3,71
2021,9,9,103,1,88
2021,9,9,103,2,91
2021,9,9,103,3,108
2021,9,9,104,1,107
2021,9,9,104,2,111
2021,9,9,104,3,94
2021,9,9,111,1,97
2021,9,9,111,2,80
2021,9,9,111,3,95
2021,9,9,117,1,98
2021,9,9,117,2,92
2021,9,9,117,3,83
2021,9,9,118,1,107
2021,9,9,118,2,95
2021,9,9,118,3,75
2021,9,9,203,1,94
2021,9,9,203,2,98
2021,9,9,203,3,101
2021,9,9,207,2,86
2021,9,9,207,3,91
2021,9,9,208,1,107
2021,9,9,208,2,105
2021,9,9,208,3,108
2021,9,9,211,1,96
2021,9,9,211,2,93
2021,9,9,211,3,95
2021,9,9,212,1,71
2021,9,9,212,2,83
2021,9,9,212,3,70
2021,9,9,216,2,84
2021,9,9,216,3,79
2021,9,9,305,1,80
2021,9,9,305,2,99
2021,9,9,305,3,95
2021,9,9,306,1,106
2021,9,9,306,2,104
2021,9,9,306,3,94
2021,9,9,308,1,77
2021,9,9,308,2,103
2021,9,9,308,3,85
2021,9,9,311,1,69
2021,9,9,311,2,74
2021,9,9,311,3,65
2021,9,9,316,1,100
2021,9,9,316,2,90
2021,9,9,316,3,103
2021,9,9,318,1,84
2021,9,9,318,2,81
2021,9,9,318,3,101
2021,9,9,402,1,76
2021,9,9,402,2,81
2021,9,9,402,3,68
2021,9,9,404,1,78
2021,9,9,404,2,91
2021,9,9,404,3,90
2021,9,9,410,1,86
2021,9,9,410,2,81
2021,9,9,410,3,81
2021,9,9,416,1,110
2021,9,9,416,2,101
2021,9,9,416,3,105
2021,9,9,417,1,82
2021,9,9,417,2,81
2021,9,9,417,3,88
2021,9,9,418,1,90
2021,9,9,418,2,61
2021,9,9,418,3,70
2021,9,21,101,1,69.5
2021,9,21,101,2,54
2021,9,21,101,3,55
2021,9,21,103,1,100.5
2021,9,21,103,2,85
2021,9,21,103,3,87
2021,9,21,104,1,82
2021,9,21,104,2,96
2021,9,21,104,3,103.5
2021,9,21,111,2,91
