Year,Month,Day,Unit,Rep,Height_cm
2021,6,3,209,6,3.5
2021,6,3,209,7,12
2021,6,3,209,8,11.5
2021,6,3,209,9,15.5
2021,6,3,209,10,10
2021,6,3,214,1,12.5
2021,6,3,214,2,12
2021,6,3,214,3,4.5
2021,6,3,214,4,13.5
2021,6,3,214,5,8.5
2021,6,3,214,6,8.5
2021,6,3,214,7,14
2021,6,3,214,8,9
2021,6,3,215,1,6.5
2021,6,3,215,2,6
2021,6,3,215,3,8
2021,6,3,215,4,7.5
2021,6,3,215,5,4.5
2021,6,3,215,6,10
2021,6,3,215,7,9
2021,6,3,215,8,8.5
2021,6,3,215,9,8.5
2021,6,3,218,1,6.5
2021,6,3,218,2,3
2021,6,3,218,3,5.5
2021,6,3,218,4,8
2021,6,3,218,5,11
2021,6,3,218,6,10
2021,6,3,218,7,13
2021,6,3,218,8,7.5
2021,6,3,218,9,9
2021,6,3,218,10,11
2021,6,3,302,1,5.5
2021,6,3,302,2,3.5
2021,6,3,302,3,6
2021,6,3,302,4,8
2021,6,3,302,5,13.5
2021,6,3,302,6,7.5
2021,6,3,302,7,9.5
2021,6,3,302,8,8
2021,6,3,303,1,13.5
2021,6,3,303,2,8.5
2021,6,3,303,3,7.5
2021,6,3,303,4,9.8
2021,6,3,303,5,9.5
2021,6,3,303,6,3.5
2021,6,3,303,7,7
2021,6,3,303,8,8
2021,6,3,303,9,9.5
2021,6,3,303,10,5
2021,6,3,309,1,9
2021,6,3,309,2,6.5
2021,6,3,309,3,10.5
2021,6,3,309,4,7
2021,6,3,309,5,8
2021,6,3,309,6,6
2021,6,3,309,7,6.5
2021,6,3,309,8,8
2021,6,3,309,9,7.5
2021,6,3,309,10,6
2021,6,3,310,1,6
2021,6,3,310,2,6.5
2021,6,3,310,3,4
2021,6,3,310,4,5.5
2021,6,3,310,5,5.5
2021,6,3,310,6,7.5
2021,6,3,310,7,6.5
2021,6,3,310,8,3
2021,6,3,310,9,9.5
2021,6,3,310,10,6.5
2021,6,3,312,1,7.5
2021,6,3,312,2,5.5
2021,6,3,312,3,5
2021,6,3,312,4,7
2021,6,3,312,5,6.5
2021,6,3,312,6,12
2021,6,3,312,7,5.5
2021,6,3,312,8,8.5
2021,6,3,312,9,6
2021,6,3,312,10,6.5
2021,6,3,315,1,12
2021,6,3,315,2,11
2021,6,3,315,3,6
2021,6,3,315,4,7
2021,6,3,315,5,10
2021,6,3,315,6,13.5
2021,6,3,315,7,12
2021,6,3,315,8,6.5
2021,6,3,315,9,7.5
2021,6,3,315,10,7.5
2021,6,3,317,1,11
2021,6,3,317,2,6.5
2021,6,3,317,3,6
2021,6,3,317,4,3
2021,6,3,317,5,8
2021,6,3,317,6,10.5
2021,6,3,317,7,8.5
2021,6,3,317,8,6.5
2021,6,3,317,9,9
2021,6,3,317,10,10.5
2021,6,3,401,1,6.5
2021,6,3,401,2,13
2021,6,3,401,3,16.5
2021,6,3,401,4,8.5
2021,6,3,401,5,6
2021,6,3,401,6,5.5
2021,6,3,401,7,6
2021,6,3,401,8,5
2021,6,3,401,9,4.5
2021,6,3,401,10,7
2021,6,3,406,1,5
2021,6,3,406,2,6.5
2021,6,3,406,3,11
2021,6,3,406,4,11.5
2021,6,3,406,5,5
2021,6,3,412,1,9.5
2021,6,3,412,2,8
2021,6,3,412,3,10
2021,6,3,412,4,3
2021,6,3,412,5,12
2021,6,3,412,6,14.5
2021,6,3,412,7,7.5
2021,6,3,412,8,9
2021,6,3,413,1,7.5
2021,6,3,413,2,8
2021,6,3,413,3,5.5
2021,6,3,413,4,11.5
2021,6,3,413,5,17
2021,6,3,413,6,7.5
2021,6,3,413,7,10
2021,6,3,413,8,9
2021,6,3,413,9,4
2021,6,3,413,10,13
